lunette.cs.colostate.edu up  10 days, 23:10,    load average: 0.00 0.00 0.00
fryatt.cs.colostate.edu  up  10 days, 23:33,    load average: 0.00 0.00 0.00
k2.cs.colostate.edu      up  10 days, 23:10,    load average: 0.00 0.00 0.00
kitchener.cs.colostate.e up  10 days, 22:48,    load average: 0.02 0.01 0.00
makalu.cs.colostate.edu  up  10 days, 22:49,    load average: 0.00 0.00 0.00
pomegranates.cs.colostat up  46 days, 30 mins,  load average: 0.00 0.00 0.00
kaiso.cs.colostate.edu   up            8:03,    load average: 0.00 0.00 0.00
clemenceau.cs.colostate. up   7 days, 49 mins,  load average: 0.06 0.02 0.00
diadem.cs.colostate.edu  up  10 days, 22:50,    load average: 0.00 0.00 0.00
edith-cavell.cs.colostat up  10 days, 22:48,    load average: 0.00 0.00 0.00
belford.cs.colostate.edu up  26 days,  6:12,    load average: 0.00 0.00 0.00
laramie.cs.colostate.edu up  10 days, 22:52,    load average: 0.00 0.00 0.00
assiniboine.cs.colostate up  10 days, 23:14,    load average: 0.00 0.00 0.00
alexandra.cs.colostate.e up  10 days, 23:20,    load average: 0.00 0.00 0.00
bross.cs.colostate.edu   up  10 days, 22:50,    load average: 0.00 0.00 0.00
tsar.cs.colostate.edu    up  10 days, 22:46,    load average: 0.31 0.37 0.36
bryce.cs.colostate.edu   up  10 days, 22:49,    load average: 0.00 0.00 0.00
horseradish.cs.colostate up  12 days,  1:57,    load average: 0.00 0.00 0.00
garlic.cs.colostate.edu  up  11 days,  3:05,    load average: 0.00 0.00 0.00
humboldt.cs.colostate.ed up  10 days, 22:49,    load average: 0.05 0.01 0.00
parsley.cs.colostate.edu up  13 days, 22:19,    load average: 0.00 0.00 0.00
athabasca.cs.colostate.e up  10 days, 22:55,    load average: 0.00 0.00 0.00
wasabi.cs.colostate.edu  up  12 days,  1:58,    load average: 0.00 0.00 0.00
lincoln.cs.colostate.edu up  17 days,  1:59,    load average: 0.31 0.26 0.19
salem.cs.colostate.edu   up  17 days,  1:48,    load average: 0.22 0.06 0.14
betaz.cs.colostate.edu   up   5 days,  2:03,    load average: 0.00 0.00 0.00
lettuce.cs.colostate.edu up  12 days,  1:59,    load average: 0.00 0.00 0.00
huron.cs.colostate.edu   up  10 days, 22:49,    load average: 0.00 0.01 0.01
kitaro.cs.colostate.edu  up   5 days,  2:12,    load average: 0.00 0.00 0.00
kelp.cs.colostate.edu    up  12 days,  1:59,    load average: 0.00 0.00 0.00
lindsey.cs.colostate.edu up  18 days, 36 mins,  load average: 0.10 0.10 0.05
twins-tower.cs.colostate up  10 days, 23:50,    load average: 0.13 0.11 0.26
fennel.cs.colostate.edu  up  11 days,  3:05,    load average: 0.00 0.00 0.00
gourd.cs.colostate.edu   up  11 days,  3:04,    load average: 0.00 0.00 0.00
rutabaga.cs.colostate.ed up  11 days,  3:04,    load average: 0.00 0.00 0.00
rhubarb.cs.colostate.edu up  13 days, 22:18,    load average: 0.00 0.00 0.00
shallot.cs.colostate.edu up  12 days,  1:58,    load average: 0.00 0.00 0.00
parsnip.cs.colostate.edu up  13 days, 22:18,    load average: 0.00 0.00 0.00
pumpkin.cs.colostate.edu up  13 days, 22:18,    load average: 0.00 0.00 0.00
pea.cs.colostate.edu     up  13 days, 22:19,    load average: 0.00 0.00 0.00
radish.cs.colostate.edu  up  13 days, 22:19,    load average: 0.00 0.00 0.00
chestnut.cs.colostate.ed up  16 days, 23:57,    load average: 0.71 0.67 0.79
leek.cs.colostate.edu    up  12 days,  1:57,    load average: 0.00 0.00 0.00
kale.cs.colostate.edu    up  12 days,  1:58,    load average: 1.00 1.00 1.00
romanesco.cs.colostate.e up  12 days,  1:58,    load average: 0.00 0.00 0.00
pepper.cs.colostate.edu  up  13 days, 22:18,    load average: 0.00 0.00 0.00
jakarta.cs.colostate.edu up  16 days, 23:41,    load average: 1.02 1.10 1.12
salt-lake-city.cs.colost up  17 days,  2:20,    load average: 0.13 0.11 0.09
onion.cs.colostate.edu   up  13 days, 22:18,    load average: 0.00 0.01 0.12
acushla.cs.colostate.edu up  46 days, 31 mins,  load average: 0.00 0.00 0.00
okra.cs.colostate.edu    up  13 days, 22:19,    load average: 0.00 0.00 0.00
eolus.cs.colostate.edu   up  10 days, 22:48,    load average: 0.05 0.26 0.67
potato.cs.colostate.edu  up  13 days, 22:18,    load average: 0.00 0.00 0.00
platte.cs.colostate.edu  up   5 days,  9:41,    load average: 0.76 0.59 0.40
phoenix.cs.colostate.edu up  17 days,  1:50,    load average: 1.00 1.00 1.00
faure.cs.colostate.edu   up  46 days, 30 mins,  load average: 0.77 0.64 0.39
kuskokwim.cs.colostate.e up  10 days, 22:51,    load average: 1.16 1.25 1.26
damascus.cs.colostate.ed up  16 days, 23:45,    load average: 0.04 0.06 0.08
recondite.cs.colostate.e up  10 days, 22:49,    load average: 0.36 0.27 0.23
yam.cs.colostate.edu     up  46 days, 56 mins,  load average: 0.11 0.18 0.26
temple.cs.colostate.edu  up   6 days, 23:13,    load average: 0.75 0.47 0.49
sacramento.cs.colostate. up  17 days,  1:58,    load average: 1.00 1.00 1.00
zucchini.cs.colostate.ed up  46 days, 56 mins,  load average: 0.00 0.00 0.00
st-vrain.cs.colostate.ed up   6 days, 23:51,    load average: 1.13 0.95 0.82
lattice-53.cs.colostate. up   7 days,  2:29,    load average: 0.02 0.01 0.00
lattice-62.cs.colostate. up   7 days,  2:20,    load average: 0.00 0.00 0.00
lattice-60.cs.colostate. up   7 days,  2:21,    load average: 0.00 0.00 0.00
acorn.cs.colostate.edu   up  16 days, 23:38,    load average: 0.41 0.67 0.84
lattice-108.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.01 0.00
lattice-66.cs.colostate. up   7 days,  2:19,    load average: 0.00 0.00 0.00
almond.cs.colostate.edu  up  16 days, 23:38,    load average: 0.09 0.04 0.09
lattice-67.cs.colostate. up   7 days,  2:15,    load average: 0.00 0.00 0.00
lattice-56.cs.colostate. up   7 days,  2:19,    load average: 0.00 0.00 0.00
strauss.cs.colostate.edu up  10 days, 23:10,    load average: 0.03 0.05 0.01
lattice-50.cs.colostate. up   7 days,  2:28,    load average: 0.00 0.00 0.00
lattice-52.cs.colostate. up   7 days,  2:30,    load average: 0.00 0.00 0.00
lattice-58.cs.colostate. up   7 days,  2:18,    load average: 0.00 0.00 0.00
lattice-64.cs.colostate. up   7 days,  2:15,    load average: 0.00 0.00 0.00
hickory.cs.colostate.edu up           10:22,    load average: 0.00 0.00 0.00
lattice-57.cs.colostate. up   7 days,  2:16,    load average: 0.00 0.00 0.00
eggplant.cs.colostate.ed up  12 days,  2:00,    load average: 1.00 1.00 1.00
lattice-49.cs.colostate. up   8 days,  1:20,    load average: 0.01 0.00 0.00
lattice-65.cs.colostate. up   7 days,  2:15,    load average: 0.00 0.00 0.00
lattice-59.cs.colostate. up   7 days,  2:17,    load average: 0.00 0.00 0.00
lattice-70.cs.colostate. up   7 days,  1:37,    load average: 0.00 0.00 0.00
